# DVR Export: master_status
# ExportTime: 20260410_230429
# FrameCount: 480
# FirstFrameTimestamp: 0
# LastFrameTimestamp: 0
# MasterSuffix.freqShiftDone: 0
# MasterSuffix.tpFreq1: 0
# MasterSuffix.tpFreq2: 1037
# MasterSuffix.penF0NoiseCount: 64
# MasterSuffix.penF1NoiseCount: 93
# MasterSuffix.touchX: 22
# MasterSuffix.touchY: 36
Frame,Timestamp,MasterWasRead,PeakCount,ContactCount,P0_R,P0_C,P0_Z,P1_R,P1_C,P1_Z,C0_ID,C0_X,C0_Y,C0_State,C0_Area,C0_SigSum,C1_ID,C1_X,C1_Y,C1_State,C1_Area,C1_SigSum
130,0,1,3,4,19,44,1437,22,36,2151,1,44.7086,20.2119,1,7,4090,10,37.8032,22.8572,1,10,6404
131,0,1,4,4,18,29,737,19,44,1776,3,29.0977,18.7305,0,7,2317,1,44.6227,19.9286,1,8,4187
132,0,1,2,4,7,34,1822,21,34,2251,18,35.867,7.45381,1,13,6312,10,36.5904,22.3289,1,15,8066
133,0,1,5,5,18,27,1386,19,42,1591,3,27.4219,18.2109,0,7,3129,1,44.0758,19.5554,1,6,3950
134,0,1,5,5,18,26,1293,19,41,1354,3,27.2606,18.1664,1,8,3196,1,43.4461,19.4342,1,7,3642
135,0,1,4,5,21,36,1518,19,41,1554,4,37.2514,21.0644,1,8,5227,1,42.7156,19.3732,1,7,4220
136,0,1,5,5,17,24,1524,6,33,1952,3,26.6102,18.0231,1,9,4426,18,34.0847,6.83033,1,14,6152
137,0,1,5,5,19,39,1673,17,24,1800,1,41.2697,19.5122,1,8,3765,3,26.0178,17.9281,1,9,4424
138,0,1,5,5,20,39,1400,17,23,1892,1,40.5851,19.6989,1,6,4121,3,25.3612,17.8745,1,8,4777
139,0,1,5,5,17,23,1456,7,32,1485,3,24.7363,17.8928,1,9,5320,18,32.912,6.88983,1,14,5938
140,0,1,5,5,20,38,1590,22,34,1751,1,39.4719,20.2615,1,8,4052,4,35.6006,21.5557,1,9,5443
141,0,1,5,5,22,34,1596,21,38,1857,4,35.1587,21.7443,1,10,5235,1,39.0176,20.6261,1,7,4082
142,0,1,5,5,21,37,1334,19,22,2011,1,38.6578,21.0419,1,7,4279,3,23.2491,18.5031,1,10,5034
143,0,1,5,5,19,22,1516,23,33,1580,3,22.9014,18.9012,1,9,4992,4,34.2508,22.2613,1,8,5765
144,0,1,5,5,22,37,1605,20,22,1847,1,38.198,21.9828,1,7,4585,3,22.6357,19.4109,1,9,5086
145,0,1,4,5,24,32,1620,21,22,1785,4,33.5084,23.043,1,10,5373,3,22.4542,19.9779,1,10,4991
146,0,1,5,5,24,37,1207,22,22,1696,1,38.0363,22.8961,1,6,4450,3,22.3551,20.6187,1,9,5451
147,0,1,5,5,24,38,2019,22,22,2132,1,38.0592,23.4733,1,8,4987,3,22.3462,21.3248,1,9,6200
148,0,1,5,5,25,38,1772,12,30,1783,1,38.1641,24.0283,1,8,4675,18,30.894,10.5205,1,15,6354
149,0,1,5,5,12,30,1626,24,22,1845,18,30.9078,11.1569,1,11,6016,3,22.6009,22.8813,1,9,5833
150,0,1,5,5,25,39,1306,13,31,2101,1,38.5283,25.0119,1,6,4598,18,30.9962,11.8376,1,14,6053
151,0,1,5,5,27,33,1668,26,23,1757,4,33.5145,26.8124,1,10,6516,3,23.2367,24.4803,1,9,6435
152,0,1,5,5,14,31,1349,26,24,2057,18,31.4115,13.2537,1,13,5869,3,23.7068,25.2832,1,10,6426
153,0,1,5,5,28,35,1978,26,39,1991,4,34.2604,27.8864,1,11,7861,10,30.1559,29.3178,1,11,7861
154,0,1,5,5,16,32,1311,31,32,2055,18,32.0847,14.66,1,11,4450,10,30.7949,29.893,1,10,8091
155,0,1,5,5,26,40,1460,28,26,1503,1,40.0274,26.473,1,8,5003,3,25.6124,27.5673,1,8,5375
156,0,1,5,5,17,33,1154,26,41,1593,18,33.0088,15.8631,1,11,4289,1,40.4504,26.6364,1,8,4754
157,0,1,5,5,17,34,1712,27,41,1860,18,33.4647,16.3589,1,9,3962,1,40.8928,26.7882,1,7,5047
158,0,1,5,5,29,28,1433,17,34,1549,3,27.7251,29.1628,1,8,4764,18,33.9083,16.7002,1,10,3888
159,0,1,5,5,17,35,1276,30,29,1746,18,34.3188,16.9423,1,8,3786,3,28.3495,29.4737,1,8,4855
160,0,1,5,5,27,43,1735,17,35,1737,1,42.2627,27.0302,1,8,4548,18,34.671,17.0759,1,10,3882
161,0,1,5,5,29,29,1519,17,35,1573,3,29.2728,29.7467,1,6,5288,18,34.9874,17.0646,1,12,4218
162,0,1,5,5,26,43,1521,16,35,1552,1,43.0467,26.9829,1,6,4678,18,35.2399,16.9372,1,11,4167
163,0,1,5,5,16,35,1608,26,44,2074,18,35.4418,16.7259,1,9,4270,1,43.3745,26.882,1,7,4925
164,0,1,4,5,15,35,1263,28,39,1628,18,35.5848,16.4313,1,9,4313,4,39.307,29.3363,1,9,5957
165,0,1,5,5,15,35,1568,26,44,1857,18,35.6539,16.0785,1,9,4269,1,43.8711,26.5956,1,8,4687
166,0,1,5,5,28,40,1702,14,35,1986,4,39.7701,28.7423,1,9,5483,18,35.6546,15.6416,1,11,4357
167,0,1,5,5,13,35,1917,25,44,2301,18,35.6021,15.1283,1,12,4471,1,44.2057,26.0709,1,8,4352
168,0,1,5,5,26,40,1399,24,44,1549,4,40.0059,27.9698,1,8,4538,1,44.2755,25.7505,1,6,3843
169,0,1,4,5,11,34,1296,26,40,1427,18,35.3807,13.9179,1,10,5273,4,40.0268,27.5097,1,7,4320
170,0,1,4,5,23,43,1216,10,34,1735,1,44.2078,25.0691,1,6,3000,18,35.2316,13.2273,1,12,5229
171,0,1,3,5,22,43,1190,10,34,1680,1,43.969,24.5547,1,7,3551,18,35.0347,12.4163,1,13,5880
172,0,1,3,4,20,26,1306,8,34,1430,3,28.7149,24.5223,1,7,3815,18,34.8081,11.5011,1,13,5474
173,0,1,3,4,19,26,1165,23,33,1165,3,27.9982,23.0663,1,13,3487,10,34.855,26.6461,1,12,4398
174,0,1,4,4,18,25,1091,19,41,1274,3,27.2215,21.3998,1,11,3560,5,41.1758,19.9258,0,6,3685
175,0,1,4,4,16,24,1251,19,40,1352,3,26.42,19.6024,1,11,3858,5,40.6953,19.0977,0,9,3799
176,0,1,4,4,19,30,562,18,39,1064,10,32.6708,22.8111,1,8,2510,5,40.5574,18.9087,1,7,3621
177,0,1,4,4,13,23,1346,4,32,1535,3,24.9248,16.2415,1,13,3950,18,33.4569,6.17567,1,12,5205
178,0,1,5,5,16,39,1578,12,23,1612,5,39.9748,18.047,1,9,4688,3,24.2515,14.7508,1,11,4809
179,0,1,5,5,2,32,1500,16,38,1755,18,33.0403,4.34808,1,11,4323,5,39.6517,17.5272,1,8,4839
180,0,1,5,5,11,22,1892,16,34,1942,3,23.2231,12.4284,1,11,5418,6,34.0198,16.2475,1,10,6494
181,0,1,5,5,2,32,1795,15,33,1944,18,32.8129,3.06053,1,10,4215,6,33.9991,16.1934,1,9,6927
